#,Reel file,Promotes / product,Caption (paste this),Hashtags,Audio idea,Posted?
1,guides/reel-00b-wallpaper-collection.mp4,The Complete Wallpaper Collection ($19),"95 original Santa Cruz wallpapers - 4K for desktop, sized for phone. Every screen you own, covered. Get it -> storymodeguy.com",#wallpaper #4kwallpaper #santacruz #sunset #phonewallpaper #californiacoast,upbeat/trending,
2,guides/reel-00-collection.mp4,The Photography Guide Library (10 guides),"10 photography guides - from your first manual shot to selling your work. Beginner to pro, one library. Guides -> storymodeguy.com",#photography #learnphotography #photographyguide #photographytips #cameratips,upbeat/trending,
3,photo/reel-78.mp4,Purple sunset over the boardwalk,The whole sky went violet and the boardwalk just sat there glowing under it. Stood on the bluff until the color quit. Prints + wallpapers -> storymodeguy.com,#santacruz #boardwalk #sunset #skyporn #californiacoast #goldenhour,calm/ambient or trending,
4,photo/reel-62.mp4,Fire on the horizon at dawn,Set an alarm for a dawn that looked like nothing out the window. Drove down anyway. This is why you always drive down. storymodeguy.com,#santacruz #sunrise #dawn #skyporn #californiacoast #photography,calm/ambient or trending,
5,photo/reel-66.mp4,Blazing dusk behind the ferris wheel,Some nights the sky does the work and the wheel just stands there looking good. Full gallery -> storymodeguy.com,#santacruz #boardwalk #ferriswheel #sunset #californiacoast #silhouette,calm/ambient or trending,
6,photo/reel-64.mp4,Orange dawn on a glassy sea,Not a breath of wind. The whole bay went to glass and the sun came up orange over it. Print + wallpaper at storymodeguy.com,#santacruz #sunrise #ocean #reflection #californiacoast #photography,calm/ambient or trending,
7,photo/reel-73.mp4,Sun behind the roller coaster,The Giant Dipper turns 100 this year. Still the best thing to put a sunset behind. storymodeguy.com,#santacruz #boardwalk #rollercoaster #sunset #californiacoast #goldenhour,calm/ambient or trending,
8,photo/reel-58.mp4,Scarlet fly agaric in the pines,"Found this one under the pines after the rains. Straight out of a fairy tale, no edit needed. storymodeguy.com",#santacruzmountains #mushroom #flyagaric #nature #forest #naturephotography,calm/ambient or trending,
9,photo/reel-53.mp4,Boardwalk lights at blue dusk,That ten-minute window where the sky's still blue but the lights are already on. My favorite time to be down there. Full gallery -> storymodeguy.com,#santacruz #boardwalk #bluehour #dusk #californiacoast #nightphotography,calm/ambient or trending,
10,photo/reel-60.mp4,Amber afterglow over the pier,The 10 minutes after sunset are better than sunset. Nobody's ever around for them. storymodeguy.com,#santacruz #sunset #afterglow #wharf #californiacoast #photography,calm/ambient or trending,
11,photo/reel-68.mp4,Amber twilight over rolling surf,"Long lens, low light, cold hands. The surf kept catching the last of the amber. Wallpaper at storymodeguy.com",#santacruz #surf #twilight #ocean #californiacoast #skyporn,calm/ambient or trending,
12,photo/reel-54.mp4,Storm clouds over the dawn beach,"Not every morning is golden. Some of them just brood, and that's its own kind of good. storymodeguy.com",#santacruz #stormclouds #dawn #moody #californiacoast #naturephotography,calm/ambient or trending,
13,photo/reel-59.mp4,Sun glinting off the winter tide,Winter light is harder and cleaner. The tide was throwing the sun straight back at me. Full gallery -> storymodeguy.com,#santacruz #winter #ocean #goldenhour #californiacoast #photography,calm/ambient or trending,
14,photo/reel-70.mp4,Rose clouds over the bluff houses,West Cliff at the end of the day. The clouds went rose and the whole street turned to look. storymodeguy.com,#santacruz #westcliff #sunset #clouds #californiacoast #skyporn,calm/ambient or trending,
15,photo/reel-72.mp4,Tall redwoods against a summer sky,Craned my neck until it hurt. You forget how big they are until you try to fit one in the frame. Print at storymodeguy.com,#santacruzmountains #redwoods #forest #california #nature #naturephotography,calm/ambient or trending,
16,photo/reel-75.mp4,Boardwalk mirrored in still water,The river mouth went flat and gave me two boardwalks for the price of one. storymodeguy.com,#santacruz #boardwalk #reflection #sunset #californiacoast #photography,calm/ambient or trending,
17,photo/reel-63.mp4,Pink dawn above the quiet pool,"Still, pink, and completely empty. Had the whole beach to myself for this one. Full gallery -> storymodeguy.com",#santacruz #sunrise #dawn #pastel #californiacoast #naturephotography,calm/ambient or trending,
18,photo/reel-57.mp4,Tiny mushrooms on a mossy log,Almost stepped right over these. The whole forest floor comes alive a week after the first real rain. storymodeguy.com,#santacruzmountains #mushroom #moss #forest #macro #naturephotography,calm/ambient or trending,
19,photo/reel-67.mp4,Sun sinking behind the pier,Watched it drop straight down behind the pier pilings. Held the frame till it was gone. Wallpaper at storymodeguy.com,#santacruz #sunset #pier #silhouette #californiacoast #skyporn,calm/ambient or trending,
20,photo/reel-65.mp4,The long wharf under blue sky,"Clear day, hard blue, the wharf running all the way out. Sometimes simple is the whole shot. storymodeguy.com",#santacruz #wharf #bluesky #ocean #californiacoast #photography,calm/ambient or trending,
21,photo/reel-77.mp4,Cirrus streaks over the summer beach,High cirrus getting brushed around up top while summer did its thing down below. Full gallery -> storymodeguy.com,#santacruz #clouds #summer #beach #californiacoast #skyporn,calm/ambient or trending,
22,photo/reel-56.mp4,Sea foam blankets the dusk shore,The surf whipped up so much foam the whole shoreline went soft and grey at dusk. storymodeguy.com,#santacruz #seafoam #dusk #ocean #californiacoast #naturephotography,calm/ambient or trending,
23,photo/reel-69.mp4,Crescent moon over the horizon,Caught the crescent hanging just over the last of the amber. You get maybe ten minutes for this. storymodeguy.com,#santacruz #moon #crescentmoon #dusk #californiacoast #skyporn,calm/ambient or trending,
24,photo/reel-71.mp4,Weathered sea caves in the cliff,The coast keeps rearranging itself out here. These caves weren't this deep a few years ago. Print at storymodeguy.com,#santacruz #seacaves #coast #cliffs #californiacoast #naturephotography,calm/ambient or trending,
25,photo/reel-74.mp4,Grey sky over the boardwalk rides,"Overcast and quiet. The rides still run, the color's just softer. storymodeguy.com",#santacruz #boardwalk #overcast #moody #californiacoast #photography,calm/ambient or trending,
26,photo/reel-76.mp4,Pastel dusk over the river trestle,"The old rail trestle at dusk, sky going soft pastel behind it. A quieter side of town. Full gallery -> storymodeguy.com",#santacruz #trestle #dusk #pastel #californiacoast #photography,calm/ambient or trending,
27,photo/reel-61.mp4,Tidal creek under a grey sky,Where the creek meets the sand under a flat grey sky. Not dramatic - just honest. storymodeguy.com,#santacruz #creek #coast #moody #californiacoast #naturephotography,calm/ambient or trending,
28,photo/reel-55.mp4,White surf under drifting clouds,Clean lines of white surf rolling in under a sky that couldn't decide what to do. storymodeguy.com,#santacruz #surf #ocean #clouds #californiacoast #photography,calm/ambient or trending,
29,guides/reel-01-iphone-photography.mp4,Pro Photos From Your Pocket ($34),"Your phone is a better camera than you think - you just have to stop letting it decide everything. 23 pages: lenses, light, editing, and a 30-day challenge. Guide -> storymodeguy.com",#iphonephotography #phonephotography #mobilephotography #photographytips #contentcreator,upbeat/trending,
30,guides/reel-02-lightroom-blueprint.mp4,The Lightroom Blueprint ($37),"Flat RAW -> finished photo in minutes, with a repeatable order-of-operations. No more guessing with sliders. Guide -> storymodeguy.com",#lightroom #photoediting #lightroompresets #editingtips #photography,upbeat/trending,
31,guides/reel-03-product-photography.mp4,Product Photos That Sell ($34),Your photos are your storefront. A $30 home setup and the settings that make products look expensive. Guide -> storymodeguy.com,#productphotography #etsyseller #smallbusiness #ecommerce #photographytips,upbeat/trending,
32,guides/reel-04-exposure-manual-mode.mp4,Master Your Camera in a Weekend ($27),Get off Auto for good. The exposure triangle and manual mode made simple - 12 real-world settings recipes. Guide -> storymodeguy.com,#manualmode #exposuretriangle #photographybasics #dslr #learnphotography,upbeat/trending,
33,guides/reel-05-why-blurry.mp4,Why Are My Photos Blurry? ($22),"Sharpness isn't luck. Name the blur - shake, motion, or missed focus - and fix it every time. Guide -> storymodeguy.com",#photographytips #sharpphotos #blurryphotos #focus #beginnerphotography,upbeat/trending,
34,guides/reel-06-real-estate-photography.mp4,Real Estate & Airbnb Photography ($39),"Bright, sellable interiors - and the system to turn it into a paid side income. Undercuts $300 courses. Guide -> storymodeguy.com",#realestatephotography #airbnb #photographybusiness #sidehustle #interiorphotography,upbeat/trending,
35,guides/reel-07-natural-light-portraits.mp4,Natural-Light Portraits & Posing ($29),Flattering light and a full posing library so nobody looks awkward again. Works with any camera. Guide -> storymodeguy.com,#portraitphotography #posingguide #naturallight #portraits #photographytips,upbeat/trending,
36,guides/reel-08-astrophotography.mp4,Astrophotography for Beginners ($39),"Shoot the Milky Way with the camera you already own - planning, focusing in the dark, settings, editing. Guide -> storymodeguy.com",#astrophotography #milkyway #nightphotography #stars #longexposure,upbeat/trending,
37,guides/reel-09-low-light-night.mp4,Low-Light & Night Photography ($27),"Low light is where cameras seem to ""break."" It's just a light budget - here are the fixes for city & night. Guide -> storymodeguy.com",#nightphotography #lowlight #cityphotography #longexposure #photographytips,upbeat/trending,
38,guides/reel-10-cheat-sheet-pack.mp4,The Photographer's Cheat-Sheet Pack ($17),"A deck of printable field cards - settings recipes, exposure, white balance, and a troubleshooting flowchart. Guide -> storymodeguy.com",#photographycheatsheet #camerasettings #photographytips #beginnerphotography #printable,upbeat/trending,
39,reels/smg-desktop-4k-reel.mp4,Santa Cruz Skies Vol. II - Desktop 4K ($4),"12 new Santa Cruz coast wallpapers in 4K for your desktop. Fiery sunsets, glassy dawns. -> storymodeguy.com",#wallpaper #4kwallpaper #desktopwallpaper #santacruz #sunset,calm/ambient or trending,
40,reels/smg-phone-reel.mp4,Santa Cruz Skies Vol. II - Phone ($4),8 coastal sunsets & dawns sized for your lock screen. -> storymodeguy.com,#phonewallpaper #iphonewallpaper #lockscreen #santacruz #sunset,calm/ambient or trending,
