Pin image,Title,Description,Destination link,Suggested board
pin-01.jpg,"Red sky over the boardwalk · Santa Cruz, California","Red sky over the boardwalk — an original fine-art photograph of the Santa Cruz coast in California. Available as a 4K desktop & phone wallpaper and a printable fine-art file at storymodeguy.com. Coastal sunset photography, California beach prints, boardwalk & ocean wall art.",https://storymodeguy.com/#prints,Santa Cruz Boardwalk
pin-02.jpg,"Ferris wheel in silhouette · Santa Cruz, California","Ferris wheel in silhouette — an original fine-art photograph of the Santa Cruz coast in California. Available as a 4K desktop & phone wallpaper and a printable fine-art file at storymodeguy.com. Coastal sunset photography, California beach prints, boardwalk & ocean wall art.",https://storymodeguy.com/#prints,Santa Cruz Boardwalk
pin-03.jpg,"Walton Lighthouse, burning sky · Santa Cruz, California","Walton Lighthouse, burning sky — an original fine-art photograph of the Santa Cruz coast in California. Available as a 4K desktop & phone wallpaper and a printable fine-art file at storymodeguy.com. Coastal sunset photography, California beach prints, boardwalk & ocean wall art.",https://storymodeguy.com/#prints,Santa Cruz Coast
pin-04.jpg,"Ember light on the shore · Santa Cruz, California","Ember light on the shore — an original fine-art photograph of the Santa Cruz coast in California. Available as a 4K desktop & phone wallpaper and a printable fine-art file at storymodeguy.com. Coastal sunset photography, California beach prints, boardwalk & ocean wall art.",https://storymodeguy.com/#prints,Santa Cruz Coast
pin-05.jpg,"The wheel, lit up after dark · Santa Cruz, California","The wheel, lit up after dark — an original fine-art photograph of the Santa Cruz coast in California. Available as a 4K desktop & phone wallpaper and a printable fine-art file at storymodeguy.com. Coastal sunset photography, California beach prints, boardwalk & ocean wall art.",https://storymodeguy.com/#prints,Santa Cruz Coast
pin-06.jpg,"Lenticular cloud over the cliff · Santa Cruz, California","Lenticular cloud over the cliff — an original fine-art photograph of the Santa Cruz coast in California. Available as a 4K desktop & phone wallpaper and a printable fine-art file at storymodeguy.com. Coastal sunset photography, California beach prints, boardwalk & ocean wall art.",https://storymodeguy.com/#prints,Santa Cruz Coast
pin-07.jpg,"Dusk on the wet sand · Santa Cruz, California","Dusk on the wet sand — an original fine-art photograph of the Santa Cruz coast in California. Available as a 4K desktop & phone wallpaper and a printable fine-art file at storymodeguy.com. Coastal sunset photography, California beach prints, boardwalk & ocean wall art.",https://storymodeguy.com/#prints,Sunset Wallpapers
pin-08.jpg,"Still water, mirrored lights · Santa Cruz, California","Still water, mirrored lights — an original fine-art photograph of the Santa Cruz coast in California. Available as a 4K desktop & phone wallpaper and a printable fine-art file at storymodeguy.com. Coastal sunset photography, California beach prints, boardwalk & ocean wall art.",https://storymodeguy.com/#prints,Santa Cruz Coast
pin-09.jpg,"Golden hour on the tideline · Santa Cruz, California","Golden hour on the tideline — an original fine-art photograph of the Santa Cruz coast in California. Available as a 4K desktop & phone wallpaper and a printable fine-art file at storymodeguy.com. Coastal sunset photography, California beach prints, boardwalk & ocean wall art.",https://storymodeguy.com/#prints,Sunset Wallpapers
pin-10.jpg,"Magenta over the coaster · Santa Cruz, California","Magenta over the coaster — an original fine-art photograph of the Santa Cruz coast in California. Available as a 4K desktop & phone wallpaper and a printable fine-art file at storymodeguy.com. Coastal sunset photography, California beach prints, boardwalk & ocean wall art.",https://storymodeguy.com/#prints,Santa Cruz Boardwalk
pin-11.jpg,"Sun through the coaster · Santa Cruz, California","Sun through the coaster — an original fine-art photograph of the Santa Cruz coast in California. Available as a 4K desktop & phone wallpaper and a printable fine-art file at storymodeguy.com. Coastal sunset photography, California beach prints, boardwalk & ocean wall art.",https://storymodeguy.com/#prints,Santa Cruz Boardwalk
